FMTNAME,START,LABEL
DRDIFDCD,13120100,"ICE CREAM BAR/STICK, CHOCOLATE COVERED"
DRDIFDCD,13120110,"ICE CREAM BAR, CHOCOLATE/CARAMEL COVERED, W/ NUTS"
DRDIFDCD,13120120,"ICE CREAM BAR,RICH CHOC ICE CREAM,THICK CHOC COVER"
DRDIFDCD,13120121,"ICE CREAM BAR,RICH ICE CREAM,THICK CHOC COVER"
DRDIFDCD,13120130,"ICE CREAM BAR/STICK,RICH ICE CREAM,CHOC COVER,W/NUT"
DRDIFDCD,13120140,"ICE CREAM BAR/STICK, CHOC ICE CREAM, CHOC COVER"
DRDIFDCD,13120300,"ICE CREAM BAR, CAKE-COVERED"
DRDIFDCD,13120500,ICE CREAM SANDWICH
DRDIFDCD,13120550,ICE CREAM COOKIE SANDWICH (INCLUDE CHIPWICH)
DRDIFDCD,13120700,"ICE CREAM CONE, W/ NUTS, NOT CHOCOLATE"
DRDIFDCD,13120710,"ICE CREAM CONE, CHOC-COVERED, W/ NUTS, NOT CHOC"
DRDIFDCD,13120720,"ICE CREAM CONE, CHOC-COVERED OR DIPPED, NOT CHOC"
DRDIFDCD,13120730,"ICE CREAM CONE, NO TOPPING, NOT CHOCOLATE"
DRDIFDCD,13120750,"ICE CREAM CONE, W/NUTS, CHOCOLATE ICE CREAM"
DRDIFDCD,13120770,"ICE CREAM CONE, NO TOPPING, CHOCOLATE ICE CREAM"
DRDIFDCD,13120790,"ICE CREAM SUNDAE CONE (INCL DRUMSTICK, ALL FLAVORS)"
DRDIFDCD,13120800,"ICE CREAM SODA, NOT CHOCOLATE"
DRDIFDCD,13121300,"ICE CREAM SUNDAE,CHOCOLATE TOPPING,W/ WHIPPED CREAM"
DRDIFDCD,13122100,"ICE CREAM PIE, NO CRUST"
DRDIFDCD,13125100,ICE CREAM W/ SHERBET
DRDIFDCD,13130300,"LIGHT ICE CREAM,NOT CHOCOLATE (FORMERLY ICE MILK)"
DRDIFDCD,13130310,"LIGHT ICE CREAM,CHOCOLATE (FORMERLY ICE MILK)"
DRDIFDCD,13130350,"LIGHT ICE CREAM,PREMIUM, NOT CHOC (FORMERLY ICE MILK)"
DRDIFDCD,13130600,"LIGHT ICE CREAM,SOFT SERVE, NOT CHOC (FORMERLY ICE MILK)"
DRDIFDCD,13130610,"LIGHT ICE CREAM,SOFT SERVE CHOC (TASTEE FRZ, DAIRY QUEEN)"
DRDIFDCD,13130620,"LIGHT ICE CREAM,SOFT SERVE CONE,NOT CHOC (DAIRY QUEEN)"
DRDIFDCD,13130630,"LIGHT ICE CREAM,SOFT SERVE CONE, CHOC (FORMERLY ICE MILK)"
DRDIFDCD,13130640,"LIGHT ICE CREAM,SOFT SERVE CONE, NS FLAV(FORMERLY ICE MILK)"
DRDIFDCD,13135000,"LIGHT ICE CREAM,SANDWICH (DAIRY QUEEN) (FORMERLY ICE MILK)"
DRDIFDCD,13140100,"LIGHT ICE CREAM,BAR/STICK, CHOC-COATED (FORMERLY ICE MILK)"
DRDIFDCD,13140550,"LIGHT ICE CREAM,CONE, CHOCOLATE (FORMERLY ICE MILK)"
DRDIFDCD,13140660,"LIGHT ICE CREAM,SUNDAE,CHOC / FUDGE TOP (W/O WHIP CREAM)"
DRDIFDCD,13140670,"LIGHT ICE CREAM,SUNDAE,FRUIT TOP (W/O WHIP CREAM)(ICE MILK)"
DRDIFDCD,13140680,"LIGHT ICE CREAM,SUNDAE,NO FRUIT/CHOC TOP (W/O WHIP CREAM)"
DRDIFDCD,13140700,"LIGHT ICE CREAM,CREAMSICLE OR DREAMSICLE (FORMERLY ICE MILK)"
DRDIFDCD,13140900,"LIGHT ICE CREAM,FUDGESICLE (FORMERLY ICE MILK)"
DRDIFDCD,13141100,"LIGHT ICE CREAM,W/ SHERBET OR ICE CREAM (FORMERLY ICE MILK)"
DRDIFDCD,13142000,"MILK DESSERT BAR/STICK, FROZEN, W/ COCONUT"
DRDIFDCD,13150000,"SHERBET, ALL FLAVORS"
DRDIFDCD,13160000,"MILK DESSERT, FROZEN, MADE FROM LOWFAT MILK"
DRDIFDCD,13160100,"MILK DESSERT,FZN,LOWFAT,W/LOW CAL SWEET,NOT CHOC"
DRDIFDCD,13160150,"MILK DESSERT, FROZ, NONFAT, W/ LOW CAL SWEETENER CHOCOLATE"
DRDIFDCD,13160160,"MILK DESSERT, FROZ, NONFAT, W/ LOW CAL SWEETENER, NOT CHOC"
DRDIFDCD,13160200,"MILK DESSERT,FROZEN,LOWFAT,NOT CHOCOLATE"
DRDIFDCD,13160210,"MILK DESSERT, FROZEN, LOWFAT, CHOCOLATE"
DRDIFDCD,13160400,"MILK DESSERT, FROZ, MILK-FAT FREE, NOT CHOC"
DRDIFDCD,13160550,"MILK DSRT,FROZ,MILK-FAT FREE,W/SIMPLESSE, NOT CHOC"
DRDIFDCD,13160600,"MILK DESSERT, FROZ, W/ LOW CAL SWEETENER, NOT CHOC"
DRDIFDCD,13160650,"MILK DESSERT, FROZ, W/ LOW CAL SWEETENER, CHOCOLATE"
DRDIFDCD,13161500,"MILK DESSERT SANDWICH BAR, FROZEN, DIETARY"
DRDIFDCD,13161600,"MILK DES BAR, FROZEN, LOFAT MILK&LO CAL SWEETENER"
DRDIFDCD,13161630,"LIGHT ICE CREAM,BAR/STICK, W/ LOW-CAL SWEETENER, CHOC COAT"
DRDIFDCD,13200110,"PUDDING, NFS"
DRDIFDCD,13210110,"PUDDING, BREAD (INCLUDE W/ RAISINS)"
DRDIFDCD,13210180,"PUDDING, MEXICAN BREAD (CAPIROTADA)"
DRDIFDCD,13210220,"PUDDING, CHOCOLATE, RTE, NS FROM DRY MIX OR CANNED"
DRDIFDCD,13210250,"PUDDING, CHOC, RTE, LO CAL, W/ ART SWTNER, NS DRY/CAN"
DRDIFDCD,13210280,"PUDDING, NOT CHOC, RTE, NS FROM DRY MIX OR CANNED"
DRDIFDCD,13210290,"PUDDING, NOT CHOC, RTE, LO CAL, W/ ART SWTNER"
DRDIFDCD,13210300,CUSTARD
DRDIFDCD,13210350,"CUSTARD, PUERTO RICAN STYLE (FLAN)"
DRDIFDCD,13210410,"PUDDING, RICE"
DRDIFDCD,13210500,"PUDDING, TAPIOCA,MADE FROM HOME RECIPE, MADE W/ MILK"
DRDIFDCD,13210520,"PUDDING, TAPIOCA,MADE FROM DRY MIX,MADE W/ MILK"
DRDIFDCD,13210750,"PUDDING, PUMPKIN"
DRDIFDCD,13220110,"PUDDING,NOT CHOCOLATE,PREPARED FROM DRY MIX,MILK ADDED"
DRDIFDCD,13220120,"PUDDING,CHOCOLATE,PREPARED FROM DRY MIX,MILK ADDED"
DRDIFDCD,13220210,"PUDDING,NOT CHOC,FROM DRY,LOW CAL,ARTIFICIAL SWEET,W/MILK"
DRDIFDCD,13220220,"PUDDING,CHOC,FROM DRY,LOW CAL,ARTIFICIAL SWEET,MILK ADDED"
DRDIFDCD,13220230,"PUDDING, CAN, CHOC, REDUCED FAT (INCL JELL-O LIGHT)"
DRDIFDCD,13220235,"PUDDING, CAN, CHOC, FAT FREE"
DRDIFDCD,13220245,"PUDDING, CANNED, NOT CHOC, FAT FREE"
DRDIFDCD,13230110,"PUDDING, CANNED, NOT CHOCOLATE"
DRDIFDCD,13230120,"PUDDING,CANNED,LOW CAL,W/ARTIFICIAL SWTNR,NOT CHOC"
DRDIFDCD,13230130,"PUDDING, CANNED, CHOCOLATE"
DRDIFDCD,13230140,"PUDDING, CANNED, LO CAL, W/ ART SWTNER, CHOC"
DRDIFDCD,13230200,"PUDDING, CANNED, CHOC & NON-CHOC FLAVORS COMBINED"
DRDIFDCD,13230500,"PUDDING, CANNED, TAPIOCA"
DRDIFDCD,13230510,"PUDDING, CANNED, TAPIOCA, FAT FREE"
DRDIFDCD,13241000,"PUDDING, W/ FRUIT & VANILLA WAFERS"
DRDIFDCD,13250000,"MOUSSE, CHOCOLATE"
DRDIFDCD,13252200,"MILK DESSERT OR MILK CANDY, P.R. (DULCE DE LECHE)"
DRDIFDCD,13252500,"BARFI/BURFI,INDIAN DESSERT,FROM MILK/CREAM/RICOTTA"
DRDIFDCD,13310000,"CUSTARD PUDDING, NOT CHOC, BABY, NS AS TO STR OR JR"
DRDIFDCD,13311000,"CUSTARD PUDDING, BABY, NOT CHOCOLATE, STRAINED"
DRDIFDCD,13312000,"CUSTARD PUDDING, BABY, NOT CHOCOLATE, JUNIOR"
DRDIFDCD,13411000,"WHITE SAUCE, MILK SAUCE"
DRDIFDCD,13412000,"MILK GRAVY, QUICK GRAVY"
DRDIFDCD,14010000,"CHEESE, NFS"
DRDIFDCD,14010100,"CHEESE,CHEDDAR/AMERICAN TYPE,NS NATURAL OR PROCESSED"
